word,translation,ipa,example,exampleTranslation,level,topic
cake,"торт, пирожное",/keɪk/,This cake is delicious.,Этот торт очень вкусный.,A1,Еда
calendar,календарь,/ˈkæləndər/,Check your calendar.,Проверь свой календарь.,A2,Время
call,звонок / звонить,/kɔl/,I got a call from John.,Мне позвонил Джон,A2,Общение
call back somebody or call somebody back,перезвонить,/kɔl bæk ˈsəmˌbɑdi ər kɔl ˈsəmˌbɑdi bæk/,Call me back later.,Перезвони мне позже,A2,Общение
camera,"камера, фотоаппарат",/ˈkæmərə/,I need a new camera.,Мне нужен новый фотоаппарат.,A1,Покупки
camp,располагаться лагерем,/kæmp/,We camp near the lake.,Мы отдыхаем у озера,A2,Транспорт
camping,отдых в палатках,/ˈkæmpɪŋ/,We love camping.,Мы любим кемпинг,A2,Транспорт
can,жестяная банка,/kæn/,Open a can of tomatoes for the sauce.,Открой банку томатов для соуса.,A2,Еда
can,"мочь, уметь",/kən/,I can swim very well.,Я умею очень хорошо плавать,A1,Служебные слова
can,"возможно, может быть",/kən/,It can rain tomorrow.,Завтра может пойти дождь,A1,Служебные слова
can,мочь (предложение),/kən/,Can I help you?,Я могу тебе помочь?,A1,Служебные слова
can,мочь (просьба),/kən/,Can you open the window?,Можно открыть окно?,A1,Служебные слова
can,можно (разрешение),/kən/,Can I come in?,Можно войти?,A2,Служебные слова
can't wait,не могу дождаться,/kænt weɪt/,I can't wait to see you!,Не могу дождаться встречи с тобой!,A2,Эмоции
candy,"конфеты, сладости",/ˈkændi/,Kids love candy.,Дети любят конфеты.,A2,Еда
canned,консервированный,/kænd/,Canned vegetables are convenient for quick meals.,Консервированные овощи удобны для быстрого приготовления еды.,B2,Еда
cannot,не мочь,/ˈkænɑt/,I cannot come today.,Я не могу прийти сегодня,A1,Служебные слова
cap,кепка,/kæp/,He wears a baseball cap.,Он носит бейсболку,A2,Одежда
capital,столица,/ˈkæpɪtəl/,London is the capital of Britain.,Лондон — столица Британии,A2,Политика
capital letter,заглавная буква,/ˈkæpɪtəl ˈlɛtər/,Names start with a capital letter.,Имена пишутся с заглавной буквы,A2,Общение
car,"машина, автомобиль",/kɑr/,My car is red.,Моя машина красная,A1,Транспорт
card,открытка,/kɑrd/,I got a birthday card.,Я получил поздравительную открытку на день рождения,A2,Общение
careful,осторожный,/ˈkɛrfəl/,Be careful on the road.,Будь осторожен на дороге,A2,Эмоции
carefully,"внимательно, осторожно",/ˈkɛrfəli/,Drive carefully!,Веди машину осторожно!,A2,Описания
carnivore,"мясоед, плотоядное животное, хищник",/ˈkɑːrnɪvɔːr/,"She adopted a strict carnivore diet, eating only meat and animal products.","Она перешла на строгую «диету хищника», питаясь только мясом и продуктами животного происхождения.",B1,Еда
carpet,ковёр,/ˈkɑrpət/,The carpet is soft.,Ковёр мягкий.,A2,Дом
carrot,морковь (корнеплод),/ˈkær.ət/,Finely chop the carrots.,Мелко нарежьте морковь.,A2,Еда
carry — carried,нести,/ˈkɛri/,Could you carry this bag for me?,Вы немогли бы понести эту сумку за меня?,A1,Путешествие
cartoon,"мультфильм, карикатура",/kɑrˈtun/,Kids love cartoons.,Дети любят мультфильмы.,A2,Медиа
case,"чехол, футляр",/keɪs/,Put the phone in a case.,Положи телефон в чехол,A2,Описания
cash,наличные,/kæʃ/,I paid in cash.,Я заплатил наличными.,A2,Покупки
casserole,"запеканка, рагу, жаркое",/ˈkæs.əˌroʊl/,We had a beef casserole for dinner.,На ужин у нас была мясная запеканка.,C2,Еда
casserole dish,форма для запекания,/ˈkæs.əˌroʊl/,She baked a delicious lasagna in her favorite casserole dish.,Она испекла вкусную лазанью в своей любимой форме для запекания.,C2,Еда
castle,замок (здание),/ˈkæsəl/,We visited an old castle.,Мы посетили старый замок,A2,Места
cat,кошка,/kæt/,The cat is sleeping.,,A1,Животные
cat,кошка,/kæt/,The cat is sleeping.,Кошка спит.,A1,Животные
catch,успеть (на транспорт),/kæʧ/,I need to catch the bus.,Мне нужно успеть на автобус,A1,Транспорт
catch,подхватить (болезнь),/kæʧ/,Don't catch a cold.,Не простудись,A2,Тело и здоровье
catch — caught — caught,ловить,/kæʧ/,Catch the ball!,Лови мяч!,A1,Хобби и спорт
catering,"кейтеринг, выездное обслуживание, организацию питания",/ˈkeɪt̬.ər.ɪŋ/,The hotel offers excellent catering for weddings and corporate events.,Отель предлагает отличное выездное обслуживание для свадеб и корпоративных мероприятий.,B2,Еда
cathedral,собор,/kəˈθidrəl/,The cathedral is beautiful.,Собор красивый,A2,Места
CD,компакт-диск,/ˈsiˈdi/,I bought a new CD.,Я купил новый компакт-диск,A1,Технологии
CD player,CD-проигрыватель,/ˈsiˈdi pleɪər/,My CD player is old.,Мой проигрыватель компакт-дисков старый,A1,Технологии
ceiling,потолок,/ˈsilɪŋ/,The ceiling is white.,Потолок белый.,A2,Дом
cell phone,мобильный телефон,/sɛl foʊn/,My cell phone is new.,Мой сотовый телефон новый,A1,Технологии
cent,цент,/sɛnt/,It costs ten cents.,Это стоит десять центов.,A2,Покупки
center,"центр (города, места)",/ˈsɛnər/,Let's meet in the center.,Давай встретимся в центре,A2,Места
centimeter,сантиметр,/ˈsɛntəˌmitər/,The book is ten centimeters wide.,Книга шириной десять сантиметров,A2,Описания
century,"век, столетие",/ˈsɛnʧəri/,The 21st century.,Двадцать первый век.,A2,Время
cereal,хлопья (на завтрак),/ˈsɪr.iː.əl/,We usually have cereals for breakfast.,Обычно мы едим на завтрак хлопья.,A2,Еда
cereal,"злак, зерновая культура",/ˈsɪr.iː.əl/,Wheat is an important cereal crop.,Пшеница — важная зерновая культура.,B2,Еда
certainly,"конечно, несомненно",/ˈsərtənli/,"Certainly, I can help you.","Конечно, я могу тебе помочь",A2,Общение
chain,"цепь, цепочка",/ʧeɪn/,A gold chain.,Золотая цепочка,A2,Одежда
chair,стул,/ʧɛr/,Please sit on the chair.,"Пожалуйста, садись на стул.",A1,Дом
change,менять (деньги),/ʧeɪnʤ/,Can you change this ten?,Можешь разменять десять?,A2,Деньги и работа
change,"изменение, перемена",/ʧeɪnʤ/,It's a big change.,Это большая перемена,A2,Описания
change — changed,"менять, изменять",/ʧeɪnʤ/,I want to change my job.,Я хочу сменить работу.,A1,Деньги и работа
